City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ostrovnoy,68.05,39.51,67.41,58,1,8.25,RU,1595751478
belmonte,-15.86,-38.88,71.6,94,75,2.24,BR,1595751481
belle fourche,44.67,-103.85,66.0,82,1,3.36,US,1595751483
burnie,-41.07,145.92,51.01,71,0,1.88,AU,1595751485
petropavlovsk-kamchatskiy,53.05,158.65,66.2,52,91,6.71,RU,1595751487
aksarka,66.56,67.8,65.8,51,59,14.72,RU,1595751489
hoi an,15.88,108.33,95.0,56,20,9.17,VN,1595751491
lavrentiya,65.58,-171.0,50.65,80,46,1.77,RU,1595751493
tiksi,71.69,128.87,38.7,96,100,14.03,RU,1595751495
douglas,41.3,-96.17,81.0,83,1,8.05,US,1595751497
mahebourg,-20.41,57.7,68.0,88,75,13.87,MU,1595751500
hithadhoo,-0.6,73.08,83.88,64,99,8.3,MV,1595751502
mount gambier,-37.83,140.77,53.6,71,100,4.7,AU,1595751336
hokitika,-42.72,170.97,47.79,84,50,3.62,NZ,1595751378
hailun,47.45,126.93,86.92,53,0,4.14,CN,1595751508
singaraja,-8.11,115.09,81.93,58,100,1.14,ID,1595751510
agirish,61.92,63.02,72.46,43,53,6.62,RU,1595751512
henties bay,-22.12,14.28,66.0,70,0,10.04,NA,1595751514
elizabeth city,36.29,-76.25,75.99,94,1,4.7,US,1595751517
thanh hoa,19.8,105.77,93.16,58,100,12.62,VN,1595751368
hirado,33.36,129.55,80.6,83,75,14.99,JP,1595751521
svetlyy,54.67,20.13,71.6,64,0,6.71,RU,1595751523
paamiut,61.99,-49.67,44.22,89,1,4.68,GL,1595751525
les cayes,18.2,-73.75,79.03,82,0,3.56,HT,1595751527
chegutu,-18.13,30.14,62.2,45,3,6.85,ZW,1595751529
berlevag,70.86,29.09,66.2,42,0,18.34,NO,1595751531
silvan,38.14,41.01,96.8,25,0,4.7,TR,1595751534
portland,45.52,-122.68,68.0,52,1,5.82,US,1595751324
lusambo,-4.97,23.45,87.22,22,0,4.52,CD,1595751538
deputatskiy,69.3,139.9,70.99,56,85,22.01,RU,1595751540
marzuq,14.4,46.47,83.17,51,22,8.14,YE,1595751542
asau,46.43,26.4,73.0,72,100,2.37,RO,1595751544
sao lourenco do sul,-31.37,-51.98,36.0,97,0,6.49,BR,1595751546
leningradskiy,69.38,178.42,52.45,79,100,6.64,RU,1595751548
faanui,-16.48,-151.75,78.01,82,5,15.61,PF,1595751550
dingle,11.0,122.67,86.4,74,72,3.2,PH,1595751552
udachnyy,66.42,112.4,42.8,87,90,13.42,RU,1595751555
jumla,29.27,82.18,75.99,95,76,5.46,NP,1595751557
pathein,16.78,94.73,90.99,63,99,9.31,MM,1595751559
hambantota,6.12,81.12,87.8,70,90,12.75,LK,1595751561
codrington,-38.27,141.97,45.77,83,99,3.04,AU,1595751563
luderitz,-26.65,15.16,64.4,48,0,3.36,NA,1595751565
isangel,-19.55,169.27,73.74,82,74,15.95,VU,1595751567
tabou,4.42,-7.35,76.06,73,100,6.15,CI,1595751569
tongren,27.72,109.19,86.07,80,100,6.31,CN,1595751571
marawi,8.0,124.29,82.0,81,100,1.01,PH,1595751573
lebu,-37.62,-73.65,52.57,92,81,10.83,CL,1595751576
ikalamavony,-21.15,46.58,65.39,46,11,14.7,MG,1595751578
yumen,40.28,97.2,93.78,11,0,14.7,CN,1595751580
erzin,36.96,36.2,82.99,79,7,1.99,TR,1595751582
pevek,69.7,170.31,55.44,74,5,9.48,RU,1595751584
imbituba,-28.24,-48.67,55.4,82,75,2.24,BR,1595751586
puksoozero,62.59,40.61,72.63,40,0,3.76,RU,1595751588
talnakh,69.49,88.4,55.4,54,87,29.08,RU,1595751590
tharad,24.4,71.63,94.91,48,14,4.59,IN,1595751593
mincivan,39.03,46.72,92.07,31,0,7.81,AZ,1595751595
ceres,37.59,-120.96,73.4,46,1,6.93,US,1595751597
caloundra,-26.8,153.13,64.0,90,52,1.99,AU,1595751599
masterton,-40.96,175.66,48.0,81,0,1.77,NZ,1595751601
vinukonda,16.05,79.75,93.16,46,54,6.53,IN,1595751603
constitucion,-35.33,-72.42,49.48,75,100,4.21,CL,1595751326
djenne,13.91,-4.55,82.0,67,26,10.45,ML,1595751608
sept-iles,50.2,-66.38,62.6,93,75,3.36,CA,1595751590
magistralnyy,56.17,107.45,70.43,47,100,3.8,RU,1595751612
severo-kurilsk,50.68,156.12,52.07,82,96,15.17,RU,1595751614
santa luzia,-19.77,-43.85,57.2,87,0,4.32,BR,1595751342
tromso,69.65,18.96,60.8,67,75,24.16,NO,1595751618
labuhan,-6.88,112.21,83.55,57,100,9.26,ID,1595751620
flinders,-34.58,150.86,59.0,95,100,5.01,AU,1595751622
bushehr,28.97,50.84,100.4,42,0,6.93,IR,1595751625
muravlenko,63.79,74.52,65.34,56,96,12.21,RU,1595751627
lompoc,34.64,-120.46,59.0,82,15,3.36,US,1595751450
freeport,40.66,-73.58,78.01,88,40,12.75,US,1595751631
torbay,47.67,-52.73,55.99,93,75,6.93,CA,1595751633
mogadishu,2.04,45.34,80.6,69,75,19.46,SO,1595751635
madimba,-10.4,40.33,77.0,65,40,17.22,TZ,1595751637
northam,51.03,-4.22,62.01,87,85,11.99,GB,1595751639
flin flon,54.77,-101.86,58.93,94,74,9.78,CA,1595751642
ritchie,-29.04,24.6,60.8,36,0,3.36,ZA,1595751644
tena,-0.98,-77.82,67.95,86,97,1.3,EC,1595751646
amanganj,24.43,80.03,94.78,41,13,4.7,IN,1595751648
linguere,15.4,-15.12,81.9,71,78,14.65,SN,1595751650
inuvik,68.35,-133.72,53.6,81,90,4.7,CA,1595751652
pulandian,39.4,121.97,78.8,61,100,8.95,CN,1595751654
raudeberg,61.99,5.14,64.4,72,100,10.29,NO,1595751656
namatanai,-3.67,152.43,82.17,77,98,9.62,PG,1595751658
mazara del vallo,37.66,12.59,82.0,78,0,2.24,IT,1595751660
agua prieta,31.3,-109.57,68.0,78,0,3.44,MX,1595751662
inhambane,-23.86,35.38,66.2,82,40,4.7,MZ,1595751665
vostok,46.49,135.88,74.86,64,47,3.06,RU,1595751667
rio gallegos,-51.62,-69.22,21.2,92,3,14.99,AR,1595751382
banes,20.96,-75.72,77.0,94,5,3.36,CU,1595751671
semnan,35.57,53.4,96.78,14,50,9.55,IR,1595751673
saldanha,-33.01,17.94,59.0,87,1,4.7,ZA,1595751675
bida,9.08,6.02,77.27,85,79,6.08,NG,1595751678
abnub,27.27,31.15,87.8,35,0,17.22,EG,1595751680
mwinilunga,-11.74,24.43,66.74,41,86,8.03,ZM,1595751682
makakilo city,21.35,-158.09,80.6,65,40,6.93,US,1595751684
assiniboia,49.63,-105.98,57.67,55,0,8.84,CA,1595751561
itatiba,-23.01,-46.84,60.8,82,70,18.34,BR,1595751594
palauig,15.44,119.9,85.26,72,100,4.32,PH,1595751690
athabasca,54.72,-113.29,52.14,85,0,8.39,CA,1595751692
bubaque,11.28,-15.83,80.42,81,100,15.79,GW,1595751695
seoul,37.57,126.98,84.2,54,90,2.46,KR,1595751598
hermiston,45.84,-119.29,61.0,51,1,4.7,US,1595751699
barabinsk,55.36,78.36,70.93,60,26,9.08,RU,1595751701
balkhash,46.84,74.98,84.2,32,100,8.95,KZ,1595751703
port blair,11.67,92.75,86.05,70,54,3.0,IN,1595751705
lagoa,39.05,-27.98,71.98,89,1,18.07,PT,1595751707
nacala,-14.54,40.67,75.2,64,75,10.29,MZ,1595751710
iqaluit,63.75,-68.51,41.0,86,75,2.24,CA,1595751712
nicoya,10.15,-85.45,72.9,92,90,0.38,CR,1595751714
clyde river,70.47,-68.59,37.4,100,90,4.7,CA,1595751716
matagami,49.75,-77.63,66.2,100,90,4.7,CA,1595751718
sorong,-0.88,131.25,79.84,87,100,14.29,ID,1595751720
malinovskiy,61.2,62.84,71.35,40,99,3.78,RU,1595751722
ocos,14.51,-92.19,78.28,83,75,6.78,GT,1595751724
noumea,-22.28,166.46,69.8,73,3,5.82,NC,1595751726
husavik,66.04,-17.34,46.4,87,75,8.05,IS,1595751728
onega,63.91,38.14,69.55,47,2,5.95,RU,1595751731
rezzato,45.51,10.32,77.0,57,100,4.7,IT,1595751733
paoua,7.24,16.44,76.32,82,76,4.61,CF,1595751735
kavaratti,10.57,72.64,86.0,74,20,6.93,IN,1595751737
virginia beach,36.85,-75.98,77.0,83,1,5.82,US,1595751732
kawalu,-7.38,108.21,81.01,58,89,7.38,ID,1595751741
mundra,22.85,69.73,89.47,59,46,4.79,IN,1595751743
mahajanga,-15.72,46.32,82.4,37,20,14.99,MG,1595751745
beringovskiy,63.05,179.32,61.23,72,13,5.99,RU,1595751747
nelson bay,-32.72,152.15,57.2,100,90,18.34,AU,1595751749
grindavik,63.84,-22.43,48.2,87,75,14.99,IS,1595751752
avarua,-21.21,-159.78,71.6,78,100,5.82,CK,1595751754
beloha,-25.17,45.05,71.13,41,0,9.73,MG,1595751756
havelock,34.88,-76.9,79.0,89,100,1.01,US,1595751494
ponta delgada,37.73,-25.67,68.0,88,40,3.36,PT,1595751760
guerrero negro,27.98,-114.06,66.4,86,0,11.18,MX,1595751762
denpasar,-8.65,115.22,82.4,69,20,16.11,ID,1595751529
owando,-0.48,15.9,78.44,74,94,4.9,CG,1595751766
labuan,5.28,115.24,87.8,74,20,3.36,MY,1595751733
bengkulu,-3.8,102.27,83.84,74,8,12.57,ID,1595751770
port hedland,-20.32,118.57,84.2,9,5,16.11,AU,1595751773
jiuquan,39.74,98.52,94.68,10,0,12.73,CN,1595751775
road town,18.42,-64.62,82.99,90,65,3.0,VG,1595751777
santa cruz,-17.8,-63.17,53.6,76,75,4.7,BO,1595751557
amapa,1.0,-52.0,69.66,98,76,1.52,BR,1595751781
bend,44.06,-121.32,60.8,31,1,4.7,US,1595751764
bestobe,52.5,73.1,76.6,33,21,8.43,KZ,1595751785
hamilton,39.18,-84.53,71.6,88,1,1.03,US,1595751787
vung tau,10.35,107.08,85.87,68,54,10.18,VN,1595751728
saint-denis,48.92,2.33,64.99,77,90,11.41,FR,1595751792
olavarria,-36.89,-60.32,46.0,52,53,1.01,AR,1595751794
sao miguel do araguaia,-13.28,-50.16,65.59,53,0,5.95,BR,1595751796
sakaiminato,35.55,133.23,82.4,74,75,4.7,JP,1595751798
ayan,56.45,138.17,56.17,81,93,2.33,RU,1595751800
la paz,-16.5,-68.15,28.4,100,75,3.36,BO,1595751564
dabhoi,22.18,73.43,89.6,66,40,3.36,IN,1595751804
kropotkin,45.44,40.58,86.9,40,100,21.14,RU,1595751806
mukhen,48.1,136.1,72.64,90,92,2.62,RU,1595751808
arrecife,28.96,-13.55,73.4,73,75,17.22,ES,1595751810
sovetsk,55.08,21.88,67.41,70,33,6.2,RU,1595751813
quatre cocos,-20.21,57.76,68.0,88,75,13.87,MU,1595751815
souillac,-20.52,57.52,68.0,88,75,13.87,MU,1595751817
saint anthony,45.02,-93.22,73.0,83,40,5.82,US,1595751819
teramo,42.65,13.68,84.99,13,0,1.99,IT,1595751821
reguengos de monsaraz,38.43,-7.53,79.0,88,0,5.82,PT,1595751720
cadereyta,25.58,-99.98,78.8,65,75,8.05,MX,1595751825
takanosu,40.22,140.37,80.6,78,75,4.7,JP,1595751827
faya,18.39,42.45,82.4,32,20,10.29,SA,1595751829
leninskoye,47.94,132.62,81.0,70,38,4.85,RU,1595751832
sao caetano de odivelas,-0.75,-48.02,74.17,94,17,4.56,BR,1595751834
starosubkhangulovo,53.1,57.44,63.05,75,100,7.14,RU,1595751546
artesia,33.87,-118.08,63.0,88,1,4.7,US,1595751827
taborfalva,47.1,19.48,73.4,73,20,6.93,HU,1595751840
sambava,-14.27,50.17,72.1,82,100,17.0,MG,1595751842
cutro,39.04,16.98,77.0,65,0,12.75,IT,1595751844
hovd,48.01,91.64,76.8,28,1,9.71,MN,1595751846
shatki,55.19,44.12,69.03,53,77,6.13,RU,1595751849
kruisfontein,-34.0,24.73,60.76,63,22,26.51,ZA,1595751851
sao filipe,14.9,-24.5,78.39,87,100,9.73,CV,1595751853
mosjoen,65.84,13.19,59.0,77,9,8.05,NO,1595751855
huixtla,15.15,-92.47,74.52,79,57,3.98,MX,1595751857
pinehurst,35.2,-79.47,73.4,94,1,5.82,US,1595751859
colombo,6.93,79.85,84.2,79,75,9.17,LK,1595751785
ternate,0.8,127.4,80.02,76,100,4.79,ID,1595751863
portsmouth,50.8,-1.09,66.0,78,84,5.99,GB,1595751866
taltal,-25.4,-70.48,54.19,64,0,1.66,CL,1595751868
kailua,21.4,-157.74,80.6,74,90,13.87,US,1595751870
santa maria,-29.68,-53.81,42.15,80,0,3.02,BR,1595751872
san blas,21.52,-105.27,79.3,87,100,1.68,MX,1595751874
perth,-31.93,115.83,70.0,72,75,9.17,AU,1595751864
vila velha,-20.33,-40.29,64.4,93,75,3.36,BR,1595751611
drumnadrochit,57.33,-4.48,62.01,77,40,8.05,GB,1595751880
tomatlan,19.93,-105.25,75.31,96,100,1.97,MX,1595751883
veraval,20.9,70.37,85.21,74,70,14.54,IN,1595751885
fairbanks,64.84,-147.72,55.4,100,1,2.3,US,1595751632
lappeenranta,61.06,28.19,66.0,67,40,4.7,FI,1595751889
sorland,67.67,12.69,53.42,89,78,6.67,NO,1595751891
itarema,-2.92,-39.92,75.18,74,0,16.8,BR,1595751893
los llanos de aridane,28.66,-17.92,73.4,73,9,11.41,ES,1595751895
san rafael del sur,11.85,-86.44,74.64,89,100,2.46,NI,1595751897
vardo,70.37,31.11,66.2,42,0,18.34,NO,1595751899
golden,39.76,-105.22,66.0,88,75,5.82,US,1595751902
tanda,26.55,82.65,96.03,48,94,6.71,IN,1595751904
kuldur,49.22,131.63,76.55,76,66,5.84,RU,1595751906
katherine,-14.47,132.27,84.2,18,0,12.75,AU,1595751908
kansanshi,-12.1,26.43,64.54,42,88,7.61,ZM,1595751910
ceuta,35.89,-5.31,80.6,83,40,6.93,ES,1595751912
solnechnyy,50.72,136.63,66.06,86,100,1.99,RU,1595751914
manokwari,-0.87,134.08,82.63,74,96,1.97,ID,1595751917
invermere,50.52,-116.04,50.0,62,0,1.01,CA,1595751919
nyagan,62.14,65.39,72.37,46,73,7.63,RU,1595751921
north bend,43.41,-124.22,57.0,93,1,5.82,US,1595751923
smithers,54.78,-127.17,55.4,87,90,2.24,CA,1595751925
qaqortoq,60.72,-46.03,42.8,93,100,3.36,GL,1595751927
issia,6.49,-6.59,69.06,94,79,4.12,CI,1595751929
atar,20.52,-13.05,85.57,37,0,3.51,MR,1595751931
chingirlau,51.09,54.08,76.62,37,48,10.0,KZ,1595751934
hasaki,35.73,140.83,86.0,74,75,6.93,JP,1595751936
finschhafen,-6.6,147.87,76.86,89,100,14.12,PG,1595751938
penzance,50.12,-5.54,63.0,93,12,11.41,GB,1595751940
puerto madero,14.72,-92.42,78.1,82,6,6.31,MX,1595751942
high rock,26.62,-78.28,82.17,77,55,10.49,BS,1595751944
bambari,5.77,20.68,73.72,89,100,5.3,CF,1595751946
thompson,55.74,-97.86,64.4,93,75,11.41,CA,1595751948
liepaja,56.54,21.04,68.0,64,2,6.93,LV,1595751951
kikwit,-5.04,18.82,88.83,25,100,2.57,CD,1595751953
franklin,39.97,-83.02,68.0,100,1,1.52,US,1595751956
